Count,Integrity,Time
0,false,1676
1,false,1906
2,false,2030
3,false,1768
4,false,1604
5,false,1473
6,false,1581
7,false,1523
8,false,1555
9,false,1481
10,false,1630
11,false,1556
12,false,1887
13,false,1603
14,false,1561
15,false,1580
16,false,1711
17,false,1655
18,false,1480
19,false,1637
20,false,1509
21,false,1558
22,false,1806
23,false,1555
24,false,1603
25,false,1620
26,false,1686
27,false,1656
28,false,1561
29,false,1740
30,false,1651
31,false,1774
32,false,1509
33,false,1661
34,false,1570
35,false,1582
36,false,1939
37,false,1548
38,false,1615
39,false,1526
40,false,1547
41,false,1623
42,false,1424
43,false,1676
44,false,1506
45,false,1700
46,false,1722
47,false,1691
48,false,1604
49,false,1596
50,false,1653
51,false,1589
52,false,1549
53,false,1648
54,false,1712
55,false,1627
56,false,1655
57,false,1521
58,false,1496
59,false,1796
60,false,1846
61,false,1667
62,false,1784
63,false,1469
64,false,1676
65,false,1843
66,false,1569
67,false,1703
68,false,1593
69,false,1694
70,false,1696
71,false,1773
72,false,1681
73,false,1616
74,false,1528
75,false,1674
76,false,1728
77,false,1588
78,false,1676
79,false,1603
80,false,1599
81,false,1809
82,false,1620
83,false,1610
84,false,1751
85,false,1609
86,false,1645
87,false,1514
88,false,1488
89,false,1560
90,false,1589
91,false,1609
92,false,1844
93,false,1702
94,false,1575
95,false,1564
96,false,1526
97,false,1658
98,false,1625
99,false,1662
100,false,1565
101,false,1616
102,false,1534
103,false,1578
104,false,1554
105,false,1561
106,false,1765
107,false,1631
108,false,1411
109,false,1604
110,false,1618
111,false,1576
112,false,1553
113,false,1814
114,false,1466
115,false,1587
116,false,1689
117,false,1568
118,false,1622
119,false,1645
120,false,1753
121,false,1599
122,false,1637
123,false,1625
124,false,1493
125,false,1614
126,false,1648
127,false,1612
128,false,1561
129,false,1637
130,false,1650
131,false,1548
132,false,1538
133,false,1556
134,false,1890
135,false,1514
136,false,1463
137,false,1540
138,false,1590
139,false,1548
140,false,1647
141,false,1521
142,false,1543
143,false,1609
144,false,1497
145,false,1532
146,false,1578
147,false,1676
148,false,1735
149,false,1681
150,false,1738
151,false,1564
152,false,1533
153,false,1489
154,false,1729
155,false,1669
156,false,1661
157,false,1577
158,false,1494
159,false,1565
160,false,1442
161,false,1746
162,false,1817
163,false,1705
164,false,1568
165,false,1796
166,false,1649
167,false,1628
168,false,1623
169,false,1707
170,false,1764
171,false,1555
172,false,1585
173,false,1579
174,false,1696
175,false,1660
176,false,1737
177,false,1626
178,false,1713
179,false,1711
180,false,1533
181,false,1491
182,false,1800
183,false,1556
184,false,1665
185,false,1580
186,false,1644
187,false,1778
188,false,1546
189,false,1643
190,false,1556
191,false,1490
192,false,1548
193,false,1533
194,false,1572
195,false,1449
196,false,1633
197,false,1683
198,false,1622
199,false,1607
200,false,1590
201,false,1704
202,false,1739
203,false,1758
204,false,1755
205,false,1683
206,false,1728
207,false,1661
208,false,1629
209,false,1557
210,false,1528
211,false,1727
212,false,1540
213,false,1725
214,false,1559
215,false,1526
216,false,1666
217,false,1587
218,false,1682
219,false,1705
220,false,1706
221,false,1472
222,false,1657
223,false,1610
224,false,1728
225,false,1661
226,false,1647
227,false,1627
228,false,1628
229,false,1726
230,false,1681
231,false,1631
232,false,1908
233,false,1786
234,false,1462
235,false,1492
236,false,1797
237,false,1680
238,false,1596
239,false,1619
240,false,1681
241,false,1836
242,false,1687
243,false,1577
244,false,1568
245,false,1743
246,false,1641
247,false,1586
248,false,1701
249,false,1619
250,false,1649
251,false,1723
252,false,1689
253,false,1530
254,false,1821
255,false,1636
256,false,1656
257,false,1739
258,false,1505
259,false,1592
260,false,1681
261,false,1662
262,false,1665
263,false,1348
264,false,1747
265,false,1557
266,false,1530
267,false,1471
268,false,1604
269,false,1536
270,false,1512
271,false,1745
272,false,1516
273,false,1635
274,false,1699
275,false,1520
276,false,1546
277,false,1522
278,false,1733
279,false,1525
280,false,1633
281,false,1547
282,false,1520
283,false,1401
284,false,1662
285,false,1674
286,false,1550
287,false,1607
288,false,1668
289,false,1888
290,false,1436
291,false,1582
292,false,1601
293,false,1677
294,false,1541
295,false,1450
296,false,1689
297,false,1424
298,false,1598
299,false,1711
300,false,1596
301,false,1500
302,false,1661
303,false,1521
304,false,1626
305,false,1699
306,false,1644
307,false,1672
308,false,1631
309,false,1534
310,false,1673
311,false,1566
312,false,1673
313,false,1724
314,false,1384
315,false,1567
316,false,1651
317,false,1648
318,false,1625
319,false,1732
320,false,1797
321,false,1496
322,false,1576
323,false,1477
324,false,1717
325,false,1519
326,false,1646
327,false,1763
328,false,1728
329,false,1528
330,false,1589
331,false,1471
332,false,1652
333,false,1583
334,false,1629
335,false,1499
336,false,1577
337,false,1716
338,false,1492
339,false,1508
340,false,1457
341,false,1774
342,false,1687
343,false,1619
344,false,1578
345,false,1606
346,false,1734
347,false,1610
348,false,1803
349,false,1648
350,false,1589
351,false,1748
352,false,1807
353,false,1621
354,false,1442
355,false,1847
356,false,1587
357,false,1519
358,false,1463
359,false,1403
360,false,1491
361,false,1609
362,false,1809
363,false,1489
364,false,1673
365,false,1769
366,false,1498
367,false,1572
368,false,1537
369,false,1661
370,false,1603
371,false,1570
372,false,1556
373,false,1501
374,false,1665
375,false,1550
376,false,1715
377,false,1592
378,false,1591
379,false,1479
380,false,1664
381,false,1479
382,false,1690
383,false,1629
384,false,1584
385,false,1557
386,false,1574
387,false,1707
388,false,1413
389,false,1581
390,false,1727
391,false,1528
392,false,1477
393,false,1505
394,false,1645
395,false,1564
396,false,1492
397,false,1883
398,false,1563
399,false,1618
400,false,1607
401,false,1640
402,false,1498
403,false,1423
404,false,1758
405,false,1680
406,false,1712
407,false,1591
408,false,1563
409,false,1593
410,false,1732
411,false,1597
412,false,1552
413,false,1580
414,false,1401
415,false,1652
416,false,1647
417,false,1586
418,false,1656
419,false,1606
420,false,1569
421,false,1570
422,false,1644
423,false,1600
424,false,1881
425,false,1589
426,false,1608
427,false,1657
428,false,1497
429,false,1724
430,false,1591
431,false,1699
432,false,1588
433,false,1640
434,false,1591
435,false,1590
436,false,1836
437,false,1680
438,false,1524
439,false,1667
440,false,1523
441,false,1842
442,false,1723
443,false,1722
444,false,1546
445,false,1661
446,false,1590
447,false,1679
448,false,1459
449,false,1546
450,false,1662
451,false,1592
452,false,1486
453,false,1562
454,false,1522
455,false,1739
456,false,1586
457,false,1783
458,false,1564
459,false,1384
460,false,1637
461,false,1520
462,false,1682
463,false,1643
464,false,1721
465,false,1524
466,false,1688
467,false,1654
468,false,1549
469,false,1583
470,false,1584
471,false,1715
472,false,1607
473,false,1584
474,false,1488
475,false,1567
476,false,1714
477,false,1625
478,false,1691
479,false,1529
480,false,1702
481,false,1504
482,false,1613
483,false,1684
484,false,1750
485,false,1573
486,false,1702
487,false,1673
488,false,1510
489,false,1763
490,false,1593
491,false,1647
492,false,1624
493,false,1567
494,false,1652
495,false,1605
496,false,1809
497,false,1587
498,false,1563
499,false,1557
500,false,1474
501,false,1737
502,false,1693
503,false,1544
504,false,1636
505,false,1576
506,false,1590
507,false,1485
508,false,1473
509,false,1408
510,false,1541
511,false,1539
512,false,1659
513,false,1661
514,false,1672
515,false,1553
516,false,1347
517,false,1739
518,false,1505
519,false,1607
520,false,1649
521,false,1689
522,false,1734
523,false,1728
524,false,1614
525,false,1653
526,false,1577
527,false,1653
528,false,1982
529,false,1612
530,false,1502
531,false,1628
532,false,1635
533,false,1647
534,false,1522
535,false,1938
536,false,1719
537,false,1617
538,false,1620
539,false,1725
540,false,1767
541,false,1696
542,false,1658
543,false,1635
544,false,1600
545,false,1752
546,false,1662
547,false,1433
548,false,1684
549,false,1725
550,false,1698
551,false,1585
552,false,1562
553,false,1684
554,false,1472
555,false,1605
556,false,1693
557,false,1603
558,false,1616
559,false,1589
560,false,1658
561,false,1838
562,false,1643
563,false,1524
564,false,1515
565,false,1592
566,false,1654
567,false,1472
568,false,1519
569,false,1587
570,false,1593
571,false,1606
572,false,1718
573,false,1549
574,false,1575
575,false,1679
576,false,1633
577,false,1575
578,false,1542
579,false,1442
580,false,1760
581,false,1637
582,false,1500
583,false,1584
584,false,1584
585,false,1762
586,false,1764
587,false,1577
588,false,1555
589,false,1568
590,false,1558
591,false,1630
592,false,1635
593,false,1501
594,false,1818
595,false,1572
596,false,1640
597,false,1605
598,false,1703
599,false,1619
600,false,1861
601,false,1567
602,false,1564
603,false,1586
604,false,1764
605,false,1865
606,false,1567
607,false,1764
608,false,1624
609,false,1655
610,false,1810
611,false,1600
612,false,1544
613,false,1571
614,false,1554
615,false,1592
616,false,1695
617,false,1733
618,false,1727
619,false,1592
620,false,1547
621,false,1645
622,false,1424
623,false,1559
624,false,1756
625,false,1547
626,false,1673
627,false,1708
628,false,1602
629,false,1689
630,false,1702
631,false,1665
632,false,1509
633,false,1487
634,false,1611
635,false,1591
636,false,1491
637,false,1611
638,false,1569
639,false,1800
640,false,1624
641,false,1775
642,false,1754
643,false,1648
644,false,1692
645,false,1565
646,false,1510
647,false,1573
648,false,1803
649,false,1793
650,false,1604
651,false,1607
652,false,1802
653,false,1766
654,false,1666
655,false,1611
656,false,1622
657,false,1465
658,false,1568
659,false,1553
660,false,1678
661,false,1667
662,false,1661
663,false,1631
664,false,1507
665,false,1564
666,false,1576
667,false,1881
668,false,1687
669,false,1524
670,false,1653
671,false,1677
672,false,1785
673,false,1369
674,false,1785
675,false,1628
676,false,1583
677,false,1608
678,false,1449
679,false,1737
680,false,1586
681,false,1569
682,false,1592
683,false,1640
684,false,1676
685,false,1752
686,false,1753
687,false,1596
688,false,1670
689,false,1514
690,false,1663
691,false,1572
692,false,1619
693,false,1734
694,false,1702
695,false,1696
696,false,1530
697,false,1681
698,false,1654
699,false,1608
700,false,1519
701,false,1523
702,false,1618
703,false,1404
704,false,1581
705,false,1681
706,false,1796
707,false,1677
708,false,1682
709,false,1600
710,false,1617
711,false,1659
712,false,1667
713,false,1756
714,false,1602
715,false,1837
716,false,1487
717,false,1556
718,false,1653
719,false,1654
720,false,1771
721,false,1544
722,false,1831
723,false,1666
724,false,1589
725,false,1644
726,false,1678
727,false,1641
728,false,1564
729,false,1774
730,false,1509
731,false,1732
732,false,1633
733,false,1574
734,false,1537
735,false,1617
736,false,1504
737,false,1679
738,false,1573
739,false,1702
740,false,1576
741,false,1498
742,false,1650
743,false,1629
744,false,1797
745,false,1837
746,false,1638
747,false,1668
748,false,1564
749,false,1385
750,false,1590
751,false,1742
752,false,1712
753,false,1520
754,false,1555
755,false,1635
756,false,1669
757,false,1654
758,false,1505
759,false,1787
760,false,1534
761,false,1685
762,false,1881
763,false,1568
764,false,1524
765,false,1448
766,false,1595
767,false,1621
768,false,1574
769,false,1531
770,false,1693
771,false,1680
772,false,1624
773,false,1662
774,false,1553
775,false,1551
776,false,1646
777,false,1857
778,false,1656
779,false,1627
780,false,1366
781,false,1697
782,false,1633
783,false,1664
784,false,1717
785,false,1692
786,false,1634
787,false,1650
788,false,1651
789,false,1480
790,false,1581
791,false,1797
792,false,1683
793,false,1554
794,false,1668
795,false,1653
796,false,1684
797,false,1377
798,false,1673
799,false,1502
800,false,1631
801,false,1862
802,false,1634
803,false,1617
804,false,1667
805,false,1690
806,false,1575
807,false,1709
808,false,1521
809,false,1645
810,false,1557
811,false,1505
812,false,1558
813,false,1508
814,false,1555
815,false,1568
816,false,1875
817,false,1695
818,false,1502
819,false,1571
820,false,1560
821,false,1521
822,false,1501
823,false,1829
824,false,1637
825,false,1690
826,false,1628
827,false,1500
828,false,1652
829,false,1607
830,false,1639
831,false,1555
832,false,1745
833,false,1615
834,false,1551
835,false,1622
836,false,1532
837,false,1729
838,false,1510
839,false,1825
840,false,1547
841,false,1791
842,false,1684
843,false,1570
844,false,1748
845,false,1651
846,false,1517
847,false,1478
848,false,1518
849,false,1525
850,false,1639
851,false,1706
852,false,1573
853,false,1571
854,false,1554
855,false,1482
856,false,1336
857,false,1720
858,false,1612
859,false,1616
860,false,1550
861,false,1598
862,false,1689
863,false,1701
864,false,1576
865,false,1580
866,false,1726
867,false,1598
868,false,1598
869,false,1654
870,false,1664
871,false,1671
872,false,1598
873,false,1540
874,false,1614
875,false,1484
876,false,1688
877,false,1400
878,false,1639
879,false,1499
880,false,1573
881,false,1552
882,false,1716
883,false,1691
884,false,1610
885,false,1408
886,false,1569
887,false,1650
888,false,1500
889,false,1617
890,false,1609
891,false,1541
892,false,1596
893,false,1501
894,false,1664
895,false,1610
896,false,1576
897,false,1609
898,false,1535
899,false,1659
900,false,1756
901,false,1667
902,false,1539
903,false,1693
904,false,1651
905,false,1619
906,false,1594
907,false,1546
908,false,1654
909,false,1612
910,false,1685
911,false,1691
912,false,1731
913,false,1623
914,false,1618
915,false,1514
916,false,1693
917,false,1556
918,false,1510
919,false,1762
920,false,1703
921,false,1624
922,false,1558
923,false,1670
924,false,1543
925,false,1436
926,false,1713
927,false,1581
928,false,1607
929,false,1464
930,false,1580
931,false,1594
932,false,1561
933,false,1683
934,false,1519
935,false,1732
936,false,1436
937,false,1852
938,false,1555
939,false,1691
940,false,1643
941,false,1708
942,false,1689
943,false,1533
944,false,1697
945,false,1717
946,false,1709
947,false,1432
948,false,1724
949,false,1592
950,false,1732
951,false,1901
952,false,1581
953,false,1598
954,false,1499
955,false,1654
956,false,1550
957,false,1644
958,false,1712
959,false,1810
960,false,1552
961,false,1586
962,false,1725
963,false,1683
964,false,1559
965,false,1509
966,false,1643
967,false,1631
968,false,1684
969,false,1663
970,false,1511
971,false,1602
972,false,1608
973,false,1481
974,false,1659
975,false,1671
976,false,1683
977,false,1629
978,false,1672
979,false,1541
980,false,1596
981,false,1594
982,false,1577
983,false,1875
984,false,1458
985,false,1700
986,false,1638
987,false,1537
988,false,1705
989,false,1610
990,false,1717
991,false,1510
992,false,1507
993,false,1546
994,false,1403
995,false,1636
996,false,1717
997,false,1723
998,false,1780
999,false,1637